Neuron,Index,Localization,Topology (3 mod),Class,Ganglion,Topology (5 mod),Topology (10 mod)
PVCR,239,Tail,1,IN,K,1,1
PVNL,240,Tail,1,IN,K,1,2
PVPL,241,Tail,2,IN,H,2,3
PVPR,242,Tail,2,IN,H,2,3
PVQL,243,Tail,3,IN,K,3,4
PVQR,244,Tail,3,IN,K,3,4
PVR,245,Tail,1,IN,K,1,2
PVT,246,Tail,2,IN,H,2,2
PVWL,247,Tail,1,IN,K,1,1
PVWR,248,Tail,1,IN,K,1,1
